,Protocol,Service,Prediction
2353,tcp,courier,DoS
2354,tcp,http,DoS
2355,tcp,other,DoS
2356,udp,private,Normal
2357,tcp,telnet,Normal
2358,tcp,telnet,Normal
2359,tcp,ftp_data,R2L
2360,tcp,smtp,Normal
2361,tcp,http,Normal
2362,tcp,private,DoS
2363,tcp,ftp,Normal
2364,tcp,http,Normal
2365,icmp,eco_i,Probe
2366,tcp,http,Normal
2367,tcp,telnet,Normal
2368,tcp,http,Normal
2369,tcp,http,Normal
2370,tcp,ftp,Normal
2371,tcp,http,Normal
2372,tcp,other,Normal
2373,tcp,other,DoS
2374,tcp,telnet,Normal
2375,udp,private,DoS
2376,tcp,private,DoS
2377,udp,private,Normal
2378,tcp,smtp,Normal
2379,tcp,http,Normal
2380,tcp,http,Normal
2381,tcp,http,Normal
2382,tcp,http,DoS
2383,tcp,http,DoS
2384,tcp,other,Probe
2385,tcp,private,DoS
2386,tcp,http,Normal
2387,tcp,ftp_data,Probe
2388,tcp,telnet,Normal
2389,tcp,private,DoS
2390,icmp,ecr_i,DoS
2391,tcp,other,Normal
2392,tcp,http,Normal
2393,tcp,ftp_data,Normal
2394,icmp,ecr_i,DoS
2395,tcp,http,Normal
2396,tcp,private,DoS
2397,udp,domain_u,Normal
2398,tcp,other,DoS
2399,tcp,telnet,Normal
2400,tcp,telnet,Normal
2401,tcp,other,DoS
2402,tcp,http,Normal
2403,tcp,http,Normal
2404,tcp,http,Normal
2405,tcp,private,DoS
2406,tcp,http,Normal
2407,tcp,private,DoS
2408,tcp,smtp,Normal
2409,tcp,http,Normal
2410,tcp,http,Normal
2411,tcp,other,Probe
2412,tcp,http,Normal
2413,tcp,private,DoS
2414,tcp,other,Normal
2415,tcp,http,Normal
2416,tcp,telnet,Normal
2417,tcp,private,DoS
2418,tcp,http,Normal
2419,tcp,other,Normal
2420,tcp,http,Normal
2421,tcp,telnet,U2R
2422,tcp,http,Normal
2423,tcp,http,Normal
2424,tcp,telnet,Normal
2425,tcp,private,DoS
2426,tcp,http,Normal
2427,tcp,http,Normal
2428,tcp,http,DoS
2429,tcp,ftp,Normal
2430,tcp,private,DoS
2431,tcp,finger,DoS
2432,tcp,private,DoS
2433,tcp,http,Normal
2434,tcp,ftp,Normal
2435,tcp,http,Normal
2436,tcp,telnet,Normal
2437,tcp,private,DoS
2438,tcp,telnet,Normal
2439,tcp,ftp_data,Normal
2440,tcp,other,Probe
2441,udp,domain_u,Normal
2442,tcp,http,Normal
2443,tcp,other,Probe
2444,tcp,other,Probe
2445,tcp,other,DoS
2446,tcp,http,Normal
2447,tcp,http,Normal
2448,tcp,other,Probe
2449,tcp,http,Normal
2450,icmp,ecr_i,DoS
2451,tcp,smtp,Normal
2452,tcp,private,DoS
2453,tcp,http,Normal
2454,tcp,http,Normal
2455,tcp,private,DoS
2456,tcp,telnet,Normal
2457,tcp,http,Normal
2458,tcp,private,DoS
2459,tcp,private,DoS
2460,tcp,http,Normal
2461,tcp,telnet,Normal
2462,tcp,private,DoS
2463,tcp,http,Normal
2464,tcp,other,DoS
2465,tcp,private,DoS
2466,tcp,http,Normal
2467,tcp,http,Normal
2468,udp,private,Normal
2469,tcp,http,Normal
2470,tcp,http,Normal
2471,tcp,other,Probe
2472,tcp,http,DoS
2473,tcp,ftp,Normal
2474,tcp,http,Normal
2475,tcp,http,Normal
2476,tcp,ftp_data,R2L
2477,tcp,http,Normal
2478,tcp,http,Normal
2479,tcp,other,DoS
2480,udp,private,Probe
2481,tcp,http,DoS
2482,tcp,http,DoS
2483,tcp,http,Normal
2484,tcp,http,Normal
2485,tcp,ftp,Normal
2486,tcp,private,DoS
2487,tcp,http,Normal
2488,udp,private,DoS
2489,udp,private,DoS
2490,tcp,http,Normal
2491,tcp,http,Normal
2492,tcp,http,Normal
2493,udp,private,Probe
2494,tcp,private,DoS
2495,tcp,private,DoS
2496,udp,private,Normal
2497,tcp,http,Normal
2498,tcp,telnet,Normal
2499,tcp,http,Normal
2500,tcp,http,Normal
2501,tcp,http,Normal
2502,tcp,telnet,Normal
2503,tcp,private,DoS
2504,tcp,http,Normal
2505,tcp,http,Normal
2506,tcp,ftp_data,R2L
2507,tcp,other,Probe
2508,udp,domain_u,Normal
2509,tcp,other,Normal
2510,tcp,http,Normal
2511,tcp,telnet,Normal
2512,tcp,other,DoS
2513,tcp,http,Normal
2514,tcp,other,Probe
2515,tcp,http,DoS
2516,tcp,private,DoS
2517,udp,private,Probe
2518,icmp,ecr_i,Normal
2519,udp,domain_u,Normal
2520,tcp,private,Probe
2521,tcp,other,DoS
2522,tcp,telnet,Normal
2523,tcp,http,Normal
2524,tcp,other,Probe
2525,tcp,other,Normal
2526,tcp,private,DoS
2527,tcp,finger,DoS
2528,icmp,ecr_i,DoS
2529,icmp,ecr_i,DoS
2530,tcp,other,Probe
2531,tcp,other,Probe
2532,tcp,http,DoS
2533,tcp,other,Probe
2534,tcp,other,DoS
2535,tcp,private,Probe
2536,tcp,other,DoS
2537,udp,domain_u,Normal
2538,tcp,http,Normal
2539,tcp,ftp_data,Normal
2540,udp,private,Normal
2541,tcp,telnet,Normal
2542,icmp,eco_i,Probe
2543,tcp,ftp_data,Normal
2544,tcp,http,Normal
2545,udp,domain_u,Normal
2546,tcp,http,Normal
2547,tcp,private,DoS
2548,tcp,http,Normal
2549,tcp,telnet,Normal
2550,tcp,private,DoS
2551,tcp,ftp_data,Normal
2552,tcp,telnet,Normal
2553,tcp,http,Normal
2554,tcp,smtp,Normal
2555,tcp,http,Normal
2556,udp,domain_u,Normal
2557,tcp,ftp_data,Normal
2558,tcp,smtp,Normal
2559,tcp,http,DoS
2560,tcp,telnet,Normal
2561,tcp,http,Normal
2562,tcp,http,Normal
2563,tcp,http,Normal
2564,tcp,smtp,Normal
2565,tcp,other,Normal
2566,tcp,telnet,Normal
2567,udp,private,DoS
2568,tcp,http,Normal
2569,tcp,other,Normal
2570,tcp,other,Probe
2571,tcp,http,Normal
2572,tcp,http,Normal
2573,tcp,other,Normal
2574,tcp,ftp,Normal
2575,udp,domain_u,Normal
2576,udp,domain_u,Normal
2577,tcp,http,Normal
2578,tcp,finger,DoS
2579,tcp,http,Normal
2580,tcp,http,DoS
2581,tcp,http,Normal
2582,tcp,telnet,Normal
2583,tcp,telnet,Normal
2584,tcp,http,Normal
2585,tcp,http,Normal
2586,tcp,other,Probe
2587,udp,private,Probe
2588,tcp,http,Normal
2589,tcp,http,Normal
2590,tcp,http,Normal
2591,tcp,smtp,Normal
2592,icmp,ecr_i,DoS
2593,tcp,http,Normal
2594,tcp,telnet,Normal
2595,tcp,telnet,Normal
2596,tcp,other,DoS
2597,tcp,uucp,Probe
2598,tcp,http,Normal
2599,tcp,http,Normal
2600,tcp,other,DoS
2601,tcp,telnet,Normal
2602,tcp,http,DoS
2603,tcp,http,Normal
2604,tcp,http,Normal
2605,tcp,private,DoS
2606,tcp,http,Normal
2607,tcp,private,DoS
2608,tcp,http,Normal
2609,tcp,http,Normal
2610,tcp,private,DoS
2611,tcp,http,Normal
2612,tcp,private,DoS
2613,tcp,private,DoS
2614,tcp,other,DoS
2615,tcp,http,Normal
2616,tcp,http,Normal
2617,tcp,private,DoS
2618,tcp,other,Normal
2619,tcp,telnet,Normal
2620,tcp,private,DoS
2621,tcp,http,Normal
2622,tcp,ftp_data,R2L
2623,tcp,other,Normal
2624,tcp,http,Normal
2625,tcp,telnet,Normal
2626,tcp,telnet,Normal
2627,tcp,http,Normal
2628,tcp,private,DoS
2629,tcp,time,DoS
2630,tcp,http,Normal
2631,tcp,smtp,Normal
2632,tcp,http,Normal
2633,tcp,ftp_data,Normal
2634,tcp,smtp,Normal
2635,tcp,http,Normal
2636,udp,domain_u,Normal
2637,tcp,other,Probe
2638,tcp,http,Normal
2639,tcp,other,Probe
2640,tcp,telnet,Normal
2641,tcp,http,Normal
2642,tcp,http,Normal
2643,tcp,http,DoS
2644,udp,domain_u,Normal
2645,tcp,http,Normal
2646,tcp,http,Normal
2647,tcp,other,DoS
2648,udp,other,Probe
2649,tcp,http,Normal
2650,tcp,other,DoS
2651,tcp,other,Normal
2652,icmp,other,Normal
2653,tcp,http,Normal
2654,tcp,http,Normal
2655,tcp,private,DoS
2656,tcp,http,Normal
2657,tcp,ftp,Normal
2658,icmp,ecr_i,DoS
2659,tcp,http,Normal
2660,tcp,http,Normal
2661,tcp,ftp_data,Normal
2662,tcp,http,Normal
2663,tcp,http,Normal
2664,tcp,http,Normal
2665,tcp,http,Normal
2666,udp,private,DoS
2667,tcp,private,DoS
2668,tcp,ftp,Normal
2669,tcp,private,DoS
2670,tcp,other,Normal
2671,tcp,http,Normal
2672,tcp,other,DoS
2673,tcp,smtp,Normal
2674,tcp,other,Normal
2675,icmp,ecr_i,DoS
2676,tcp,private,DoS
2677,tcp,http,Normal
2678,tcp,ftp_data,Normal
2679,tcp,telnet,Normal
2680,tcp,other,Normal
2681,tcp,private,DoS
2682,udp,domain_u,Normal
2683,tcp,other,Probe
2684,tcp,ftp,Normal
2685,tcp,http,Normal
2686,tcp,http,Normal
2687,tcp,private,DoS
2688,udp,private,DoS
2689,tcp,http,Normal
2690,tcp,other,DoS
2691,tcp,http,Normal
2692,tcp,private,Probe
2693,udp,domain_u,Normal
2694,tcp,http,Normal
2695,tcp,other,Normal
2696,tcp,other,Probe
2697,tcp,http,Normal
2698,tcp,other,Normal
2699,tcp,http,Normal
2700,tcp,http,DoS
2701,tcp,http,Normal
2702,udp,other,Normal
2703,tcp,http,DoS
2704,tcp,http,Normal
2705,tcp,http,Normal
2706,tcp,other,DoS
2707,tcp,http,Normal
2708,tcp,private,DoS
2709,icmp,ecr_i,DoS
2710,tcp,other,DoS
2711,tcp,http,Normal
2712,tcp,other,DoS
2713,tcp,ftp_data,Normal
2714,icmp,ecr_i,DoS
2715,tcp,http,Normal
2716,tcp,http,Normal
2717,tcp,smtp,Normal
2718,tcp,http,Normal
2719,tcp,http,Normal
2720,tcp,http,Normal
2721,tcp,private,DoS
2722,tcp,private,DoS
2723,icmp,ecr_i,DoS
2724,icmp,eco_i,Probe
2725,icmp,ecr_i,DoS
2726,icmp,eco_i,Probe
2727,icmp,ecr_i,DoS
2728,tcp,ftp,Normal
2729,tcp,private,DoS
2730,tcp,http,Normal
2731,tcp,http,DoS
2732,tcp,http,DoS
2733,tcp,private,DoS
2734,tcp,other,DoS
2735,tcp,other,Normal
2736,tcp,other,Normal
2737,tcp,telnet,Normal
2738,tcp,smtp,Normal
2739,tcp,other,Probe
2740,tcp,private,DoS
2741,tcp,http,DoS
2742,udp,private,Normal
2743,tcp,private,DoS
2744,tcp,telnet,DoS
2745,tcp,telnet,Normal
2746,tcp,telnet,Normal
2747,tcp,ftp,Normal
2748,udp,domain_u,Normal
2749,tcp,http,Normal
2750,tcp,other,DoS
2751,tcp,private,DoS
2752,tcp,http,Normal
2753,icmp,ecr_i,DoS
2754,tcp,other,DoS
2755,tcp,http,Normal
2756,tcp,telnet,Normal
2757,tcp,http,Normal
2758,tcp,ftp,Normal
2759,tcp,ftp,Normal
2760,tcp,private,Probe
2761,udp,private,DoS
2762,tcp,http,Normal
2763,tcp,http,Normal
2764,tcp,ftp,Normal
2765,tcp,auth,DoS
2766,tcp,private,DoS
2767,tcp,private,DoS
2768,tcp,http,Normal
2769,udp,domain_u,Normal
2770,tcp,http,Normal
2771,tcp,ftp_data,DoS
2772,tcp,http,Normal
2773,udp,private,Normal
2774,tcp,http,Normal
2775,udp,private,Probe
2776,tcp,http,Normal
2777,tcp,other,Probe
2778,tcp,telnet,Normal
2779,tcp,http,Normal
2780,tcp,http,DoS
2781,udp,domain_u,Normal
2782,tcp,other,Normal
2783,tcp,ftp_data,Normal
2784,tcp,private,DoS
2785,tcp,private,DoS
2786,tcp,private,DoS
2787,tcp,http,Normal
2788,tcp,http,Normal
2789,icmp,ecr_i,DoS
2790,tcp,http,Normal
2791,tcp,other,Normal
2792,tcp,http,Normal
2793,tcp,http,Normal
2794,tcp,other,Normal
2795,icmp,eco_i,Probe
2796,tcp,private,DoS
2797,tcp,other,DoS
2798,tcp,private,DoS
2799,tcp,smtp,Normal
2800,tcp,private,DoS
2801,tcp,smtp,Normal
2802,tcp,http,Normal
2803,tcp,other,Normal
2804,tcp,smtp,Normal
2805,tcp,private,DoS
2806,tcp,telnet,Normal
2807,tcp,http,Normal
2808,tcp,http,Normal
2809,tcp,private,DoS
2810,tcp,smtp,Normal
2811,tcp,other,DoS
2812,tcp,other,DoS
2813,tcp,http,Normal
2814,tcp,http,Normal
2815,icmp,ecr_i,DoS
2816,tcp,http,Normal
2817,udp,private,DoS
2818,udp,private,Normal
2819,tcp,private,DoS
2820,udp,domain_u,Normal
2821,tcp,private,DoS
2822,tcp,http,DoS
2823,tcp,private,DoS
2824,tcp,http,Normal
2825,tcp,telnet,DoS
2826,icmp,ecr_i,DoS
2827,udp,private,Probe
2828,tcp,http,DoS
2829,tcp,other,DoS
2830,tcp,http,Normal
2831,tcp,http,DoS
2832,tcp,private,DoS
2833,tcp,http,Normal
2834,tcp,telnet,DoS
2835,tcp,other,Probe
2836,udp,private,Normal
2837,tcp,http,DoS
2838,tcp,http,DoS
2839,tcp,other,Normal
2840,tcp,other,Probe
2841,tcp,ftp_data,R2L
2842,tcp,ftp,Normal
2843,tcp,other,DoS
2844,tcp,other,Probe
2845,tcp,private,DoS
2846,icmp,ecr_i,DoS
2847,tcp,other,DoS
2848,tcp,private,DoS
2849,tcp,http,DoS
2850,tcp,http,Normal
2851,tcp,http,Normal
2852,tcp,http,Normal
2853,tcp,telnet,Normal
2854,tcp,other,Probe
2855,tcp,finger,Normal
2856,tcp,http,Normal
2857,tcp,http,Normal
2858,tcp,http,Normal
2859,tcp,http,Normal
2860,tcp,ftp_data,Normal
2861,tcp,other,DoS
2862,tcp,other,Probe
2863,udp,private,DoS
2864,tcp,http,Normal
2865,udp,private,DoS
2866,tcp,private,DoS
2867,tcp,http,Normal
2868,udp,private,DoS
2869,tcp,http,Normal
2870,tcp,telnet,Normal
2871,tcp,http,Probe
2872,tcp,private,DoS
2873,tcp,http,Normal
2874,tcp,ftp_data,Normal
2875,tcp,http,Normal
2876,tcp,other,DoS
2877,tcp,http,Normal
2878,tcp,ftp_data,Normal
2879,tcp,ftp,Normal
2880,icmp,ecr_i,Normal
2881,tcp,courier,DoS
2882,udp,private,Probe
2883,tcp,http,Normal
2884,tcp,http,Normal
2885,tcp,http,Normal
2886,udp,private,Probe
2887,tcp,auth,DoS
2888,tcp,http,Normal
2889,tcp,private,DoS
2890,udp,domain_u,Normal
2891,tcp,http,Normal
2892,tcp,http,Normal
2893,tcp,other,DoS
2894,tcp,private,DoS
2895,tcp,ftp_data,R2L
2896,tcp,http,DoS
2897,udp,private,Normal
2898,tcp,ftp_data,R2L
2899,tcp,http,Normal
2900,tcp,ftp_data,Normal
2901,tcp,http,Normal
2902,tcp,private,DoS
2903,tcp,http,Normal
2904,tcp,http,DoS
2905,tcp,other,Normal
2906,tcp,http,Normal
2907,tcp,telnet,Normal
2908,tcp,http,Normal
2909,tcp,other,Normal
2910,tcp,http,DoS
2911,tcp,http,Normal
2912,tcp,ftp_data,Normal
2913,tcp,private,DoS
2914,tcp,http,Normal
2915,tcp,http,Normal
2916,tcp,private,DoS
2917,tcp,other,DoS
2918,tcp,http,Normal
2919,tcp,http,Normal
2920,udp,private,Normal
2921,tcp,http,Normal
2922,tcp,private,DoS
2923,udp,domain_u,Normal
2924,tcp,http,Normal
2925,tcp,other,DoS
2926,tcp,ftp_data,Normal
2927,tcp,ftp,Normal
2928,tcp,private,DoS
2929,tcp,private,DoS
2930,tcp,uucp_path,DoS
2931,tcp,ftp_data,Normal
2932,tcp,ftp_data,Normal
2933,udp,private,Normal
2934,tcp,telnet,Normal
2935,tcp,telnet,Normal
2936,tcp,http,DoS
2937,udp,private,DoS
2938,udp,private,Normal
2939,tcp,http,Normal
2940,tcp,http,Normal
2941,tcp,http,Normal
2942,tcp,http,DoS
2943,udp,private,Probe
2944,tcp,http,Normal
2945,tcp,telnet,Normal
2946,tcp,http,Normal
2947,tcp,telnet,Normal
2948,udp,private,Normal
2949,tcp,telnet,Normal
2950,tcp,other,Normal
2951,tcp,uucp,Probe
2952,tcp,http,DoS
2953,tcp,telnet,Normal
2954,tcp,http,DoS
2955,tcp,http,Normal
2956,tcp,uucp_path,DoS
2957,tcp,other,Probe
2958,tcp,http,Normal
2959,tcp,http,Normal
2960,udp,private,Normal
2961,tcp,http,Normal
2962,tcp,http,Normal
2963,tcp,http,Normal
2964,tcp,http,Normal
2965,tcp,private,DoS
2966,tcp,uucp,DoS
2967,icmp,ecr_i,DoS
2968,tcp,http,Normal
2969,icmp,ecr_i,DoS
2970,tcp,other,Normal
2971,tcp,other,Normal
2972,tcp,private,DoS
2973,tcp,other,Probe
2974,tcp,http,Normal
2975,udp,domain_u,Normal
2976,tcp,other,Normal
2977,tcp,http,Normal
2978,tcp,private,DoS
2979,tcp,http,Normal
2980,tcp,http,Normal
2981,tcp,private,DoS
2982,tcp,http,Normal
2983,icmp,ecr_i,DoS
2984,tcp,private,DoS
2985,tcp,private,DoS
2986,tcp,private,DoS
2987,tcp,http,Normal
2988,udp,domain_u,Normal
2989,tcp,ftp_data,Normal
2990,tcp,http,Normal
2991,tcp,http,Normal
2992,tcp,private,DoS
2993,tcp,http,Normal
2994,tcp,http,Normal
2995,tcp,http,Normal
2996,tcp,http,Normal
2997,tcp,http,DoS
2998,tcp,telnet,Normal
2999,tcp,http,Normal
3000,tcp,http,Normal
3001,udp,private,Probe
3002,tcp,telnet,Normal
3003,tcp,other,DoS
3004,tcp,http,Normal
3005,tcp,ftp_data,R2L
3006,tcp,http,Normal
3007,tcp,whois,DoS
3008,tcp,http,Normal
3009,tcp,private,DoS
3010,tcp,other,Probe
3011,tcp,other,Normal
3012,tcp,other,DoS
3013,tcp,http,DoS
3014,tcp,private,DoS
3015,tcp,smtp,Normal
3016,tcp,other,Probe
3017,udp,private,Normal
3018,tcp,smtp,Normal
3019,tcp,http,Normal
3020,tcp,smtp,Normal
3021,tcp,telnet,Normal
3022,tcp,private,DoS
3023,tcp,telnet,Normal
3024,tcp,http,Normal
3025,tcp,http,Normal
3026,tcp,private,DoS
3027,tcp,private,Probe
3028,tcp,other,Normal
3029,tcp,http,Normal
3030,tcp,http,Normal
3031,tcp,ftp,Normal
3032,tcp,private,DoS
3033,tcp,bgp,DoS
3034,tcp,smtp,Normal
3035,tcp,ftp_data,Normal
3036,tcp,other,Probe
3037,tcp,telnet,Normal
3038,tcp,smtp,DoS
3039,tcp,other,Normal
3040,tcp,ftp,Normal
3041,tcp,private,DoS
3042,tcp,smtp,Normal
3043,tcp,ftp,Normal
3044,tcp,telnet,Normal
3045,tcp,http,Normal
3046,tcp,http,Normal
3047,tcp,smtp,Probe
3048,tcp,other,Normal
3049,udp,other,Normal
3050,tcp,other,Probe
3051,tcp,http,Normal
3052,udp,domain_u,Normal
3053,tcp,http,Normal
3054,tcp,other,Probe
3055,tcp,http,DoS
3056,tcp,private,Probe
3057,tcp,http,Normal
3058,tcp,other,Normal
3059,tcp,http,Normal
3060,tcp,http,DoS
3061,tcp,private,DoS
3062,tcp,http,Normal
3063,tcp,http,Normal
3064,tcp,http,Normal
3065,tcp,http,Normal
3066,icmp,ecr_i,DoS
3067,tcp,ftp,Normal
3068,tcp,Z39_50,DoS
3069,icmp,ecr_i,DoS
3070,tcp,ftp_data,Normal
3071,tcp,http,DoS
3072,tcp,telnet,Normal
3073,icmp,other,Normal
3074,tcp,other,Probe
3075,tcp,http,Normal
3076,tcp,other,Probe
3077,tcp,smtp,Normal
3078,tcp,private,DoS
3079,tcp,http,Normal
3080,icmp,ecr_i,DoS
3081,tcp,smtp,Normal
3082,tcp,private,DoS
3083,tcp,http,Normal
3084,tcp,private,DoS
3085,tcp,courier,DoS
3086,tcp,http,Normal
3087,tcp,other,Normal
3088,tcp,http,Normal
3089,tcp,other,Normal
3090,tcp,http,Normal
3091,tcp,ftp,Normal
3092,tcp,other,Normal
3093,tcp,telnet,Normal
3094,tcp,private,DoS
3095,tcp,private,DoS
3096,tcp,smtp,Normal
3097,tcp,smtp,Normal
3098,tcp,http,Normal
3099,tcp,private,DoS
3100,tcp,http,Normal
3101,udp,domain_u,Normal
3102,tcp,other,DoS
3103,tcp,private,DoS
3104,tcp,http,Normal
3105,icmp,ecr_i,DoS
3106,tcp,http,Normal
3107,tcp,http,Normal
3108,udp,private,Normal
3109,tcp,smtp,Normal
3110,tcp,http,Normal
3111,tcp,telnet,Normal
3112,tcp,http,Normal
3113,tcp,other,Normal
3114,tcp,ftp,Normal
3115,tcp,http,Normal
3116,tcp,http,Normal
3117,icmp,ecr_i,DoS
3118,tcp,iso_tsap,DoS
3119,tcp,telnet,DoS
3120,tcp,telnet,Normal
3121,icmp,ecr_i,DoS
3122,tcp,iso_tsap,DoS
3123,tcp,other,Normal
3124,tcp,http,Normal
3125,udp,private,DoS
3126,tcp,http,Normal
3127,tcp,http,Normal
3128,tcp,private,DoS
3129,tcp,ftp,Normal
3130,tcp,http,Normal
3131,tcp,other,Probe
3132,tcp,other,Probe
3133,tcp,smtp,Normal
3134,tcp,http,Normal
3135,tcp,telnet,Normal
3136,udp,private,Normal
3137,tcp,private,DoS
3138,tcp,private,DoS
3139,tcp,ftp,Normal
3140,tcp,other,Probe
3141,tcp,private,DoS
3142,tcp,private,DoS
3143,udp,private,DoS
3144,tcp,http,Normal
3145,tcp,http,Normal
3146,tcp,http,Normal
3147,tcp,other,Normal
3148,tcp,telnet,R2L
3149,tcp,private,DoS
3150,tcp,ftp,Normal
3151,tcp,http,Normal
3152,tcp,http,Normal
3153,tcp,private,Probe
3154,tcp,finger,DoS
3155,tcp,private,DoS
3156,tcp,private,Probe
3157,udp,private,Normal
3158,tcp,http,Normal
3159,tcp,ftp_data,R2L
3160,tcp,other,DoS
3161,tcp,http,Normal
3162,tcp,http,Normal
3163,tcp,ftp_data,Normal
3164,tcp,uucp_path,DoS
3165,tcp,private,DoS
3166,tcp,private,DoS
3167,tcp,http,Normal
3168,tcp,http,Normal
3169,tcp,http,Normal
3170,tcp,http,Normal
3171,tcp,private,DoS
3172,tcp,private,DoS
3173,tcp,http,Normal
3174,tcp,http,Normal
3175,tcp,http,DoS
3176,udp,private,DoS
3177,tcp,http,Normal
3178,tcp,ftp_data,Normal
3179,tcp,telnet,DoS
3180,tcp,http,DoS
3181,tcp,telnet,Normal
3182,tcp,private,DoS
3183,tcp,telnet,Normal
3184,tcp,http,Normal
3185,tcp,http,Normal
3186,tcp,smtp,Normal
3187,tcp,finger,Normal
3188,tcp,smtp,Normal
3189,tcp,ftp_data,R2L
3190,tcp,http,Normal
3191,tcp,uucp,DoS
3192,icmp,ecr_i,DoS
3193,tcp,http,DoS
3194,udp,private,Normal
3195,tcp,http,DoS
3196,tcp,private,DoS
3197,tcp,http,Normal
3198,tcp,ftp_data,Normal
3199,tcp,http,DoS
3200,icmp,ecr_i,DoS
3201,udp,private,DoS
3202,tcp,telnet,Normal
3203,tcp,http,Normal
3204,udp,private,Normal
3205,tcp,other,Normal
3206,tcp,smtp,Normal
3207,tcp,other,Probe
3208,tcp,http,Normal
3209,tcp,telnet,Normal
3210,tcp,http,Normal
3211,tcp,http,Normal
3212,tcp,http,Normal
3213,tcp,http,Normal
3214,tcp,private,DoS
3215,tcp,courier,DoS
3216,tcp,private,DoS
3217,tcp,ftp_data,R2L
3218,tcp,private,DoS
3219,tcp,http,Normal
3220,tcp,telnet,Normal
3221,tcp,http,Normal
3222,tcp,private,DoS
3223,tcp,ftp,Normal
3224,tcp,smtp,Normal
3225,tcp,telnet,Normal
3226,tcp,http,Normal
3227,tcp,other,Normal
3228,tcp,other,Normal
3229,tcp,other,DoS
3230,tcp,uucp,DoS
3231,tcp,ftp,DoS
3232,udp,private,Probe
3233,tcp,http,Normal
3234,tcp,ftp_data,DoS
3235,tcp,http,Normal
3236,udp,domain_u,Normal
3237,udp,domain_u,Normal
3238,tcp,http,Normal
3239,tcp,other,Probe
3240,tcp,http,Normal
3241,tcp,other,Normal
3242,tcp,http,Normal
3243,tcp,telnet,Normal
3244,tcp,http,Normal
3245,udp,domain_u,Normal
3246,tcp,http,DoS
3247,udp,private,DoS
3248,tcp,other,Normal
3249,tcp,smtp,Normal
3250,tcp,http,DoS
3251,tcp,http,Normal
3252,udp,private,Normal
3253,tcp,http,Normal
3254,tcp,private,DoS
3255,tcp,http,Normal
3256,tcp,private,DoS
3257,tcp,telnet,Normal
3258,tcp,private,DoS
3259,tcp,http,Normal
3260,tcp,http,Normal
3261,tcp,whois,DoS
3262,tcp,http,Normal
3263,tcp,http,Normal
3264,tcp,http,Normal
3265,tcp,ftp_data,Normal
3266,tcp,telnet,DoS
3267,tcp,private,DoS
3268,tcp,other,Normal
3269,tcp,private,DoS
3270,tcp,private,DoS
3271,tcp,other,DoS
3272,tcp,smtp,Normal
3273,tcp,http,Normal
3274,tcp,http,DoS
3275,tcp,private,DoS
3276,udp,private,Normal
3277,tcp,ftp,Normal
3278,udp,other,Probe
3279,tcp,other,Probe
3280,tcp,http,Normal
3281,tcp,http,Normal
3282,tcp,private,DoS
3283,icmp,eco_i,Probe
3284,udp,private,Normal
3285,tcp,http,Normal
3286,udp,domain_u,Normal
3287,tcp,http,Normal
3288,tcp,other,DoS
3289,tcp,other,Probe
3290,tcp,http,Normal
3291,tcp,other,Probe
3292,tcp,other,Normal
3293,tcp,http,Normal
3294,tcp,http,DoS
3295,udp,private,Probe
3296,tcp,http,Normal
3297,udp,private,Normal
3298,tcp,ftp,Normal
3299,tcp,http,Normal
3300,tcp,http,DoS
3301,tcp,http,DoS
3302,tcp,other,Normal
3303,tcp,http,Normal
3304,tcp,other,Probe
3305,tcp,other,Normal
3306,tcp,ftp,Normal
3307,tcp,http,Normal
3308,tcp,other,DoS
3309,tcp,private,DoS
3310,tcp,http,Normal
3311,tcp,http,Normal
3312,tcp,other,DoS
3313,tcp,other,Probe
3314,tcp,private,DoS
3315,tcp,other,Probe
3316,udp,private,Normal
3317,udp,private,DoS
3318,tcp,telnet,Normal
3319,tcp,other,Normal
3320,udp,private,DoS
3321,tcp,http,Normal
3322,tcp,http,Normal
3323,udp,domain_u,Normal
3324,tcp,telnet,Normal
3325,icmp,ecr_i,DoS
3326,tcp,http,Normal
3327,tcp,private,DoS
3328,tcp,http,Normal
3329,tcp,private,DoS
3330,tcp,private,DoS
3331,tcp,ftp,DoS
3332,tcp,http,Normal
3333,udp,other,Normal
3334,tcp,ftp_data,R2L
3335,tcp,http,Normal
3336,tcp,http,DoS
3337,tcp,http,Normal
3338,tcp,other,Probe
3339,tcp,http,Normal
3340,tcp,http,Normal
3341,tcp,other,Normal
3342,tcp,private,DoS
3343,tcp,http,DoS
3344,tcp,http,DoS
3345,tcp,http,Normal
3346,tcp,http,Normal
3347,tcp,finger,Normal
3348,tcp,ftp,DoS
3349,tcp,private,DoS
3350,tcp,private,DoS
3351,tcp,private,DoS
3352,tcp,http,Normal
3353,tcp,smtp,Normal
3354,tcp,courier,DoS
3355,tcp,http,Normal
3356,tcp,private,Probe
3357,tcp,http,Normal
3358,tcp,http,DoS
3359,udp,private,Normal
3360,tcp,whois,DoS
3361,tcp,telnet,Normal
3362,tcp,private,DoS
3363,udp,private,DoS
3364,tcp,http,Normal
3365,tcp,smtp,Normal
3366,tcp,http,Normal
3367,tcp,telnet,Normal
3368,tcp,http,Normal
3369,tcp,other,Probe
3370,tcp,http,DoS
3371,tcp,telnet,DoS
3372,tcp,private,DoS
3373,tcp,http,Normal
3374,tcp,smtp,Normal
3375,tcp,http,Normal
3376,tcp,other,Normal
